,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop
6973,2016,BMW,X3 [2014-2018],xDrive 30d M Sport [2015-2017],Diesel,Chennai,Automatic,3500000.0,50000,6177000.0,43.33819005989963,0
6974,2015,Volvo,S60 [2015-2020],Cross Country Inscription,Diesel,Chennai,Automatic,2600000.0,53000,4427000.0,41.26948271967472,0
6975,2021,Jaguar,I-Pace,S,Electric,Chennai,Automatic,9900000.0,6000,10600000.0,6.60377358490566,0
6976,2021,Land Rover,Discovery [2014-2017],HSE,Diesel,Chennai,Automatic,6800000.0,15008,11300000.0,39.823008849557525,0
6978,2015,Audi,A3 [2014-2017],35 TDI Premium,Diesel,Chennai,Automatic,1950000.0,59474,2855000.0,31.698774080560423,0
6979,2017,Volvo,XC90 [2015-2021],Excellence [2016-2020],Petrol,Chennai,Automatic,8200000.0,35314,13100000.0,37.404580152671755,0
6980,2022,Audi,Q7,Premium Plus 55 TFSI,Petrol,Chennai,Automatic (TC),8000000.0,8000,8692000.0,7.9613437643810405,0
6981,2016,Hyundai,Tucson [2016-2020],2WD AT GLS Diesel,Diesel,Chennai,Automatic,1650000.0,47888,2449000.0,32.62556145365455,0
6982,2019,Hyundai,Elite i20 [2019-2020],Sportz Plus 1.4 CRDi,Diesel,Chennai,Manual,700000.0,88500,844000.0,17.061611374407583,0
6988,2019,Land Rover,Discovery [2014-2017],HSE,Diesel,Chennai,Automatic,3800000.0,77000,11300000.0,66.3716814159292,0
6989,2019,Land Rover,Range Rover [2013-2014],3.0 V6 Diesel Vogue,Diesel,Chennai,Automatic,16000000.0,48000,18600000.0,13.978494623655912,0
6990,2017,Porsche,Panamera [2014-2017],Turbo,Petrol,Chennai,Automatic,13900000.0,16000,20300000.0,31.527093596059114,0
6992,2019,Maruti Suzuki,Baleno [2019-2022],Zeta,Petrol,Chennai,Manual,725000.0,19000,747000.0,2.9451137884872822,0
6993,2017,Maruti Suzuki,Ertiga [2015-2018],VXI,Petrol,Chennai,Manual,790000.0,99000,793000.0,0.37831021437578816,0
6998,2022,MG,Astor,Sharp 1.5 CVT Old Generation [2021-2023],Petrol,Chennai,Automatic (CVT),1350000.0,21000,1588000.0,14.987405541561714,0
6999,2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,590000.0,40000,700000.0,15.714285714285714,0
7000,2019,Maruti Suzuki,Baleno [2019-2022],Alpha,Petrol,Chennai,Manual,785000.0,50000,821000.0,4.38489646772229,0
7001,2021,Volvo,XC40 [2018-2022],T4 R-Design,Petrol,Chennai,Automatic (TC),3800000.0,12000,4443000.0,14.47220346612649,0
7002,2021,Maruti Suzuki,XL6,Zeta MT Petrol,Petrol,Chennai,Manual,1145000.0,68000,1161000.0,1.3781223083548666,0
7003,2014,Maruti Suzuki,Ertiga [2012-2015],VDi,Diesel,Chennai,Manual,750000.0,99000,843000.0,11.032028469750891,0
7006,2022,Jeep,Compass,Model S (O) 1.4 Petrol DCT,Petrol,Chennai,Automatic (DCT),2190000.0,28000,2829000.0,22.58748674443266,0
7008,2021,Jeep,Compass,Model S (O) 1.4 Petrol DCT,Petrol,Chennai,Automatic (DCT),2190000.0,28000,2829000.0,22.58748674443266,0
7009,2022,Maruti Suzuki,S-Presso,VXi,Petrol,Chennai,Manual,485000.0,11000,521000.0,6.90978886756238,0
7016,2018,Maruti Suzuki,Vitara Brezza [2016-2020],ZDi,Diesel,Chennai,Manual,799000.0,96000,908000.0,12.004405286343612,0
7018,2023,Mahindra,XUV300,W6 1.2 Petrol,Petrol,Chennai,Manual,975000.0,25000,1000000.0,2.5,0
7019,2019,Hyundai,Elite i20 [2017-2018],Magna Executive 1.2,Petrol,Chennai,Manual,595000.0,58000,602000.0,1.1627906976744187,0
7020,2016,Ford,Aspire,Titanium 1.5 Ti-VCT AT,Petrol,Chennai,Automatic,434000.0,50400,911000.0,52.36004390779363,0
7021,2015,Nissan,Terrano [2013-2017],XL (D),Diesel,Chennai,Manual,520000.0,98200,1170000.0,55.55555555555556,0
7022,2015,Maruti Suzuki,Celerio,VXi,Petrol,Chennai,Manual,395000.0,63000,583000.0,32.24699828473413,0
7023,2015,Hyundai,i10 [2010-2017],Sportz 1.1 iRDE2 [2010--2017],Petrol,Chennai,Manual,295000.0,61000,499000.0,40.88176352705411,0
7024,2019,Maruti Suzuki,Ignis,Delta 1.2 MT,Petrol,Chennai,Manual,495000.0,48000,638000.0,22.413793103448278,0
7025,2018,Maruti Suzuki,Swift,ZXi,Petrol,Chennai,Manual,625000.0,46000,768000.0,18.619791666666664,0
7027,2014,Hyundai,i10 [2010-2017],Sportz 1.1 iRDE2 [2010--2017],Petrol,Chennai,Manual,325000.0,71000,499000.0,34.86973947895792,0
7028,2019,Maruti Suzuki,Ignis,Delta 1.2 MT,Petrol,Chennai,Manual,494000.0,48100,638000.0,22.570532915360502,0
7029,2016,Honda,Amaze [2013-2016],1.2 S i-VTEC,Petrol,Chennai,Manual,495000.0,48000,620000.0,20.161290322580644,0
7030,2020,Kia,Sonet [2020-2022],GTX Plus 1.5,Diesel,Chennai,Manual,1050000.0,60000,1284000.0,18.22429906542056,0
7031,2019,Mahindra,XUV500,W5,Diesel,Chennai,Manual,1245000.0,59000,1427000.0,12.754029432375614,0
7032,2015,Hyundai,Grand i10 [2013-2017],Asta AT 1.2 Kappa VTVT [2013-2016],Petrol,Chennai,Automatic,495000.0,57000,654000.0,24.31192660550459,0
7035,2023,Hyundai,Creta,SX 1.5 Petrol,Petrol,Chennai,Manual,1525000.0,3100,1530000.0,0.32679738562091504,0
7037,2016,Ford,Aspire,Titanium 1.5 Ti-VCT AT,Petrol,Chennai,Automatic,435000.0,50000,911000.0,52.25027442371021,0
7038,2018,Renault,Kwid,CLIMBER 1.0 AMT,Petrol,Chennai,Automatic (AMT),350000.0,49000,633000.0,44.70774091627172,0
7039,2014,Honda,Amaze [2013-2016],1.2 E i-VTEC,Petrol,Chennai,Manual,365000.0,66000,544000.0,32.904411764705884,0
7041,2020,MG,Hector [2019-2021],Sharp 2.0 Diesel,Diesel,Chennai,Manual,1450000.0,74000,1790000.0,18.994413407821227,0
7042,2018,Honda,Amaze [2018-2021],1.2 S MT Petrol,Petrol,Chennai,Manual,545000.0,67000,712000.0,23.45505617977528,0
7043,2023,Maruti Suzuki,Wagon R,ZXI Plus 1.2,Petrol,Chennai,Manual,599000.0,2500,675000.0,11.25925925925926,0
7044,2019,BMW,X3 [2018-2022],xDrive 20d Luxury Line,Diesel,Chennai,Automatic (TC),2990000.0,145000,6483000.0,53.879376831713714,0
7046,2021,Maruti Suzuki,XL6,Alpha AT Petrol,Petrol,Chennai,Automatic (TC),1175000.0,40000,1401000.0,16.131334760885082,0
7047,2021,Land Rover,Discovery [2014-2017],SE,Diesel,Chennai,Automatic,6950000.0,12000,10500000.0,33.80952380952381,0
7050,2020,Audi,A3 [2014-2017],35 TDI Technology,Diesel,Chennai,Automatic,2950000.0,34000,3371000.0,12.488875704538712,0
7051,2019,MINI,Clubman,Cooper S,Petrol,Chennai,Automatic (DCT),3550000.0,30000,4190000.0,15.274463007159905,0
7052,2022,Honda,City,ZX Petrol CVT,Petrol,Chennai,Automatic (CVT),1350000.0,25000,1634000.0,17.38066095471236,0
