,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop,Year_jittered
42,2018,Tata,Tiago,XZ,Petrol,Pune,Manual,490000.0,58093,639000.0,23.317683881064163,0,2018.0477476052774
43,2017,Tata,Tiago,XZ,Petrol,Bangalore,Manual,495000.0,54288,639000.0,22.535211267605636,0,2017.0219591541659
44,2017,Tata,Tiago,XZ,Petrol,Bangalore,Manual,500000.0,60700,639000.0,21.752738654147105,0,2017.0654165913609
45,2017,Tata,Tiago,XZ,Petrol,Bangalore,Manual,475000.0,39000,639000.0,25.665101721439747,0,2016.918344478583
46,2017,Tata,Tiago,XZ,Petrol,Bangalore,Manual,525000.0,55000,639000.0,17.84037558685446,0,2017.026784746069
47,2017,Tata,Tiago,XZ,Petrol,Chennai,Manual,480000.0,35000,639000.0,24.88262910798122,0,2016.8912344117116
48,2017,Tata,Tiago,XZ,Petrol,Noida,Manual,487000.0,16791,639000.0,23.78716744913928,0,2016.7678226097958
49,2017,Tata,Tiago,XZ,Petrol,Ghaziabad,Manual,398000.0,80438,639000.0,37.715179968701094,0,2017.1991912163382
50,2017,Tata,Tiago,XZ,Petrol,Noida,Manual,395000.0,38000,639000.0,38.18466353677621,0,2016.9115669618652
51,2017,Tata,Tiago,XZ,Petrol,Delhi,Manual,450000.0,60050,639000.0,29.577464788732392,0,2017.0610112054942
52,2017,Tata,Tiago,XZ,Petrol,Delhi,Manual,458000.0,78800,639000.0,28.325508607198746,0,2017.1880896439545
53,2017,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,456000.0,62204,639000.0,28.638497652582164,0,2017.0756099765047
54,2017,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,442000.0,86370,639000.0,30.829420970266042,0,2017.2393954455088
55,2017,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,450000.0,63000,639000.0,29.577464788732392,0,2017.081004879812
56,2017,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,500000.0,20300,639000.0,21.752738654147105,0,2016.7916049159587
57,2017,Tata,Tiago,XZ,Petrol,Mumbai,Manual,485000.0,39604,639000.0,24.100156494522693,0,2016.9224380986807
58,2017,Tata,Tiago,XZ,Petrol,Pune,Manual,409000.0,78000,639000.0,35.99374021909233,0,2017.1826676305802
59,2017,Tata,Tiago,XZ,Petrol,Pune,Manual,530000.0,69700,639000.0,17.05790297339593,0,2017.1264142418217
60,2020,Tata,Tiago,XZ,Petrol,Bangalore,Manual,625000.0,34787,639000.0,2.190923317683881,0,2019.8897908006506
61,2020,Tata,Tiago,XZ,Petrol,Delhi,Manual,542000.0,66943,639000.0,15.179968701095461,0,2020.1077286282307
62,2020,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,580000.0,35000,639000.0,9.233176838810643,0,2019.8912344117116
63,2020,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,600000.0,28000,639000.0,6.103286384976526,0,2019.8437917946865
64,2020,Tata,Tiago,XZ,Petrol,Kolkata,Manual,550000.0,20000,639000.0,13.928012519561817,0,2019.7895716609435
65,2020,Tata,Tiago,XZ,Petrol,Mumbai,Manual,625000.0,40000,639000.0,2.190923317683881,0,2019.925121995301
66,2022,Tata,Tiago,XZ,Petrol,Mohali,Manual,625000.0,22000,639000.0,2.190923317683881,0,2021.8031266943792
67,2022,Tata,Tiago,XZ,Petrol,Kolkata,Manual,619000.0,13067,639000.0,3.1298904538341157,0,2021.7425831375383
68,2016,Tata,Tiago,XZ,Petrol,Chennai,Manual,440000.0,72000,639000.0,31.142410015649453,0,2016.142002530273
69,2016,Tata,Tiago,XZ,Petrol,Faridabad,Manual,375000.0,58000,639000.0,41.31455399061033,0,2016.0471172962227
70,2016,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,385000.0,95312,639000.0,39.749608763693274,0,2016.3
71,2016,Tata,Tiago,XZ,Petrol,Thane,Manual,390000.0,44182,639000.0,38.967136150234744,0,2015.953465570215
72,2016,Tata,Tiago,XZ,Petrol,Mumbai,Manual,430000.0,33000,639000.0,32.70735524256651,0,2015.8776793782758
73,2016,Tata,Tiago,XZ,Petrol,Pune,Manual,425000.0,80000,639000.0,33.48982785602504,0,2016.196222664016
74,2016,Tata,Tiago,XZ,Petrol,Pune,Manual,400000.0,79000,639000.0,37.40219092331768,0,2016.189445147298
