Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2020,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,25581,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,29876,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,53120,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,18250,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,76928,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,69389,700000.0,0.0
2023,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,7501,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,32500,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,39600,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,87251,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,63000,700000.0,0.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,57535,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,35970,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,35000,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,75058,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,81000,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,80409,700000.0,0.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,42316,700000.0,0.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,116084,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,55450,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,47652,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,21518,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,75058,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,55000,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,70760,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,65000,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,65543,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,84096,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,51000,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,59000,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,19000,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,40000,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,38000,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,26000,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,54446,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,16483,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,54000,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Pune,Manual,700000.0,48000,700000.0,0.0
