Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2014,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,400000.0,60500,700000.0,42.857142857142854
2016,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,457000.0,90500,700000.0,34.714285714285715
2018,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,490000.0,48000,700000.0,30.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,639000.0,14707,700000.0,8.714285714285715
2015,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,405000.0,68589,700000.0,42.142857142857146
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,447000.0,80740,700000.0,36.142857142857146
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,675000.0,29000,700000.0,3.571428571428571
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,570000.0,32500,700000.0,18.571428571428573
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,425000.0,65000,700000.0,39.285714285714285
2014,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,345000.0,74000,700000.0,50.71428571428571
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,425000.0,36000,700000.0,39.285714285714285
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,660000.0,22000,700000.0,5.714285714285714
2019,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,575000.0,19000,700000.0,17.857142857142858
2014,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,339000.0,109785,700000.0,51.57142857142857
2019,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,570000.0,19638,700000.0,18.571428571428573
2019,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,526000.0,60993,700000.0,24.857142857142858
2014,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,375000.0,65000,700000.0,46.42857142857143
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,675000.0,23000,700000.0,3.571428571428571
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,650000.0,21000,700000.0,7.142857142857142
2022,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,700000.0,18000,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,400000.0,51000,700000.0,42.857142857142854
2021,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,610000.0,22500,700000.0,12.857142857142856
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,575000.0,28000,700000.0,17.857142857142858
2018,Maruti Suzuki,Swift,VXi,Petrol,Gurgaon,Manual,539000.0,27828,700000.0,23.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Gurgaon,Manual,568000.0,38842,700000.0,18.857142857142858
2015,Maruti Suzuki,Swift,VXi,Petrol,Ghaziabad,Manual,394000.0,86972,700000.0,43.714285714285715
2022,Maruti Suzuki,Swift,VXi,Petrol,Gurgaon,Manual,635000.0,25742,700000.0,9.285714285714286
2018,Maruti Suzuki,Swift,VXi,Petrol,Ghaziabad,Manual,525000.0,46000,700000.0,25.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Lucknow,Manual,375000.0,72000,700000.0,46.42857142857143
2023,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,644000.0,14881,700000.0,8.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,645000.0,17000,700000.0,7.857142857142857
2021,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,661000.0,35510,700000.0,5.571428571428571
2014,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,275000.0,62972,700000.0,60.71428571428571
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,430000.0,45000,700000.0,38.57142857142858
2015,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,400000.0,47800,700000.0,42.857142857142854
2019,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,525000.0,31000,700000.0,25.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,670000.0,3100,700000.0,4.285714285714286
2014,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,325000.0,166568,700000.0,53.57142857142857
2018,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,500000.0,110000,700000.0,28.57142857142857
2014,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,400000.0,49000,700000.0,42.857142857142854
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,450000.0,70000,700000.0,35.714285714285715
2016,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,470000.0,22506,700000.0,32.857142857142854
2020,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,570000.0,34000,700000.0,18.571428571428573
2016,Maruti Suzuki,Swift,VXi,Petrol,Faridabad,Manual,375000.0,62000,700000.0,46.42857142857143
2021,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,658000.0,20960,700000.0,6.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,495000.0,79200,700000.0,29.28571428571429
2021,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,639000.0,42636,700000.0,8.714285714285715
2017,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,550000.0,36415,700000.0,21.428571428571427
2015,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,470000.0,104738,700000.0,32.857142857142854
2021,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,575000.0,68399,700000.0,17.857142857142858
2018,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,595000.0,63000,700000.0,15.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,650000.0,69000,700000.0,7.142857142857142
2019,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,575000.0,86294,700000.0,17.857142857142858
2022,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,680000.0,11000,700000.0,2.857142857142857
2016,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,575000.0,70031,700000.0,17.857142857142858
2017,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,598000.0,12907,700000.0,14.571428571428571
2019,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,556000.0,72000,700000.0,20.57142857142857
2022,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,650000.0,42574,700000.0,7.142857142857142
2017,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,519000.0,68883,700000.0,25.857142857142858
2017,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,500000.0,80000,700000.0,28.57142857142857
2018,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,600000.0,45000,700000.0,14.285714285714285
2014,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,500000.0,50000,700000.0,28.57142857142857
2018,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,550000.0,78000,700000.0,21.428571428571427
2020,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,650000.0,81000,700000.0,7.142857142857142
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,525000.0,28300,700000.0,25.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,315000.0,39000,700000.0,55.00000000000001
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,525000.0,26011,700000.0,25.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,495000.0,43000,700000.0,29.28571428571429
2017,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,381000.0,37000,700000.0,45.57142857142858
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,475000.0,48820,700000.0,32.142857142857146
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,455000.0,49000,700000.0,35.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,499000.0,15000,700000.0,28.714285714285715
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,490000.0,41390,700000.0,30.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,490000.0,36000,700000.0,30.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,598000.0,22000,700000.0,14.571428571428571
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,495000.0,37000,700000.0,29.28571428571429
2024,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,695000.0,1700,700000.0,0.7142857142857143
2021,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,600000.0,37800,700000.0,14.285714285714285
2016,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,365000.0,14100,700000.0,47.85714285714286
2022,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,641000.0,7420,700000.0,8.428571428571429
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,488000.0,64000,700000.0,30.28571428571429
